"","rank","name","net_worth","age","country","source","industry","citizenship","education"
"21",21,"Alice Walton",56.7,73,"United States","Walmart","Fashion & Retail","United States","Bachelor of Arts/Science, Trinity University"
"22",22,"David Thomson & family",54.4,65,"Canada","Media","Media & Entertainment","Canada","Master of Arts, University of Cambridge"
"23",23,"Michael Dell",50.1,58,"United States","Dell Technologies","Technology","United States","Drop Out, The University of Texas at Austin"
"24",24,"Gautam Adani",47.2,60,"India","Infrastructure, commodities","Diversified","India",NA
"25",25,"Phil Knight & family",45.1,85,"United States","Nike","Fashion & Retail","United States","Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon"
"26",26,"Zhang Yiming",45,39,"China","TikTok","Technology","China","Bachelor of Engineering, Nankai University"
"27",27,"Dieter Schwarz",42.9,83,"Germany","Retail","Fashion & Retail","Germany",NA
"28",28,"François Pinault & family",40.1,86,"France","Luxury goods","Fashion & Retail","France","Drop Out, High School"
"29",29,"Klaus-Michael Kuehne",39.1,85,"Germany","Shipping","Logistics","Germany",NA
"30",30,"Giovanni Ferrero",38.9,58,"Italy","Nutella, chocolates","Food & Beverage","Italy",NA
"31",31,"Jacqueline Mars",38.3,83,"United States","Candy, pet food","Food & Beverage","United States","Bachelor of Arts/Science, Bryn Mawr College"
"32",31,"John Mars",38.3,87,"United States","Candy, pet food","Food & Beverage","United States","Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University"
"33",33,"Li Ka-shing",38,94,"Hong Kong","Diversified","Diversified","Hong Kong","Drop Out, High School"
"34",34,"Ma Huateng",35.3,51,"China","Internet media","Technology","China","Bachelor of Arts/Science, Shenzhen University"
"35",35,"Miriam Adelson & family",35,77,"United States","Casinos","Gambling & Casinos","United States","Bachelor of Science, Hebrew University Jerusalem"
"36",35,"Ken Griffin",35,54,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, Harvard University"
"37",37,"Mark Mateschitz",34.7,30,"Austria","Red Bull","Food & Beverage","Austria",NA
"38",38,"Robin Zeng",33.4,54,"Hong Kong","Batteries","Automotive","Hong Kong","Doctorate, Chinese Academy of Social Sciences"
"39",39,"Tadashi Yanai & family",32.6,74,"Japan","Fashion retail","Fashion & Retail","Japan","Bachelor of Arts/Science, Waseda University"
"40",40,"Len Blavatnik",32.1,65,"United States","Music, chemicals","Diversified","United States","Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University"
"41",41,"Alain Wertheimer",31.6,74,"France","Chanel","Fashion & Retail","France",NA
"42",41,"Gerard Wertheimer",31.6,72,"France","Chanel","Fashion & Retail","France",NA
"43",43,"Gianluigi Aponte",31.2,82,"Switzerland","Shipping","Logistics","Switzerland",NA
"44",43,"Rafaela Aponte-Diamant",31.2,78,"Switzerland","Shipping","Logistics","Switzerland",NA
"45",45,"Colin Zheng Huang",30.2,43,"China","E-commerce","Technology","China","Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University"
"46",46,"Reinhold Wuerth & family",29.7,87,"Germany","Fasteners","Manufacturing","Germany",NA
"47",47,"Lee Shau Kee",29.5,95,"Hong Kong","Real estate","Real Estate","Hong Kong",NA
"48",48,"Jeff Yass",28.5,64,"United States","Trading, investments","Finance & Investments","United States","Bachelor of Science, SUNY Binghamton"
"49",49,"Jim Simons",28.1,84,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley"
"50",50,"Stephen Schwarzman",27.8,76,"United States","Investments","Finance & Investments","United States","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University"
"51",51,"Susanne Klatten",27.4,60,"Germany","BMW, pharmaceuticals","Automotive","Germany","Master of Business Administration, International Institute for Management and Development"
"52",52,"Gina Rinehart",27,69,"Australia","Mining","Metals & Mining","Australia",NA
"53",53,"William Ding",26.7,51,"China","Online games","Technology","China","Bachelor of Arts/Science, University of Electronic Science and Technology of China"
"54",54,"Germán Larrea Mota Velasco & family",26.6,69,"Mexico","Mining","Metals & Mining","Mexico",NA
"55",55,"Shiv Nadar",25.6,77,"India","software services","Technology","India","Bachelor of Arts/Science, PSG College of Technology"
"56",56,"Low Tuck Kwong",25.5,74,"Indonesia","Coal","Energy","Indonesia",NA
"57",57,"Thomas Peterffy",25.3,78,"United States","Discount brokerage","Finance & Investments","United States","Drop Out, New York University"
"58",58,"Andrey Melnichenko & family",25.2,51,"Russia","Fertilizers, coal","Metals & Mining","Russia","Master of Science, Plekhanov Russian University of Economics"
"59",59,"Stefan Quandt",24.6,56,"Germany","BMW","Automotive","Germany","Associate in Arts/Science, Technical University of Karlsruhe"
"60",60,"MacKenzie Scott",24.4,52,"United States","Amazon","Technology","United States","Bachelor of Arts/Science, Princeton University"
"61",61,"R. Budi Hartono",24.2,82,"Indonesia","Banking, tobacco","Finance & Investments","Indonesia",NA
"62",62,"Vladimir Potanin",23.7,62,"Russia","Metals","Metals & Mining","Russia","Masters in Finance, Moscow Institute of International Relations"
"63",63,"Jack Ma",23.5,58,"China","E-commerce","Technology","China","Bachelor of Arts/Science, Hangzhou Teacher's Institute"
"64",64,"He Xiangjian & family",23.4,80,"China","Home appliances","Manufacturing","China",NA
"65",65,"Iris Fontbona & family",23.1,80,"Chile","Mining","Metals & Mining","Chile",NA
"66",65,"Michael Hartono",23.1,83,"Indonesia","Banking, tobacco","Manufacturing","Indonesia",NA
"67",67,"James Ratcliffe",22.9,70,"United Kingdom","Chemicals","Manufacturing","United Kingdom",NA
"68",68,"Cyrus Poonawalla",22.6,81,"India","Vaccines","Healthcare","India","Bachelor of Arts/Science, Pune University; Doctorate, Pune University"
"69",69,"Masayoshi Son",22.4,65,"Japan","Internet, telecom","Telecom","Japan","Bachelor of Arts/Science, University of California, Berkeley"
"70",70,"Vladimir Lisin",22.1,66,"Russia","Steel, transport","Metals & Mining","Russia","Doctorate, Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute"
"71",71,"Emmanuel Besnier",22,52,"France","Cheese","Food & Beverage","France",NA
"72",72,"Abigail Johnson",21.6,61,"United States","Fidelity","Finance & Investments","United States","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith"
"73",72,"Leonid Mikhelson & family",21.6,67,"Russia","Gas, chemicals","Energy","Russia","Master of Science in Engineering, Kuybyshev Engineering and Construction Institute"
"74",74,"Lukas Walton",21.2,36,"United States","Walmart","Fashion & Retail","United States","Bachelor of Arts/Science, Colorado College"
"75",74,"Wang Wei",21.2,52,"China","Package delivery","Service","China",NA
"76",76,"Jensen Huang",21.1,60,"United States","Semiconductors","Technology","United States","Bachelor of Science in Engineering, Oregon State University; Master of Science in Engineering, Stanford University"
"77",77,"Leonard Lauder",21,90,"United States","Estee Lauder","Fashion & Retail","United States","Bachelor of Arts/Science, University of Pennsylvania"
"78",77,"Takemitsu Takizaki",21,77,"Japan","Sensors","Manufacturing","Japan",NA
"79",79,"Alexey Mordashov & family",20.9,57,"Russia","Steel, investments","Metals & Mining","Russia","Master of Science in Engineering, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria"
"80",80,"Vagit Alekperov",20.5,72,"Russia","Oil","Energy","Russia","Master of Science in Engineering, Azerbaijan Institute of Oil and Chemistry"
"81",81,"Thomas Frist, Jr. & family",20.2,84,"United States","Hospitals","Healthcare","United States","Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University"
"82",82,"Andrew Forrest",19.6,61,"Australia","Mining","Metals & Mining","Australia","Bachelor of Arts/Science, University of Western Australia; Ph.D, University of Western Australia"
"83",83,"Ray Dalio",19.1,73,"United States","Hedge funds","Finance & Investments","United States","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University"
"84",84,"Li Eric",19,59,"China","Automobiles","Automotive","China","Master of Science, Yanshan University"
"85",84,"Wang Wenyin",19,55,"China","Mining, copper products","Metals & Mining","China",NA
"86",86,"Eyal Ofer",18.9,72,"Israel","Real estate, shipping","Diversified","Israel",NA
"87",86,"Qin Yinglin",18.9,57,"China","Pig breeding","Food & Beverage","China",NA
"88",88,"Wang Chuanfu",18.7,57,"China","Batteries, automobiles","Automotive","China","Master of Science, Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology"
"89",89,"Harold Hamm & family",18.5,77,"United States","Oil & gas","Energy","United States","Diploma, High School"
"90",89,"David Tepper",18.5,65,"United States","Hedge funds","Finance & Investments","United States","Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh"
"91",89,"Gennady Timchenko",18.5,70,"Russia","Oil, gas","Energy","Russia","Master of Science in Engineering, Leningrad Mechanical Institute"
"92",92,"Daniel Gilbert",18,61,"United States","Quicken Loans","Finance & Investments","United States","Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University"
"93",93,"Lakshmi Mittal",17.7,72,"India","Steel","Metals & Mining","India","Bachelor of Arts/Science, St Xavier's College Calcutta"
"94",94,"Steve Cohen",17.5,66,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
"95",94,"Carl Icahn",17.5,87,"United States","Investments","Finance & Investments","United States","Drop Out, New York University; Bachelor of Arts/Science, Princeton University"
"96",94,"Savitri Jindal & family",17.5,73,"India","Steel","Metals & Mining","India",NA
"97",97,"Donald Bren",17.4,90,"United States","Real estate","Real Estate","United States","Bachelor of Arts/Science, University of Washington"
"98",97,"John Menard, Jr.",17.4,83,"United States","Home improvement stores","Fashion & Retail","United States","Bachelor of Arts/Science, University of Wisconsin, Eau Claire"
"99",99,"Rupert Murdoch & family",17.1,92,"United States","Newspapers, TV network","Media & Entertainment","United States","Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University"
"100",100,"Vicky Safra & family",16.7,70,"Brazil","Banking","Finance & Investments","Brazil",NA
"101",101,"Theo Albrecht, Jr. & family",16.5,72,"Germany","Aldi, Trader Joe's","Fashion & Retail","Germany",NA
"102",101,"Renata Kellnerova & family",16.5,55,"Czech Republic","Finance, telecommunications","Finance & Investments","Czech Republic",NA
"103",103,"Li Xiting",16.3,72,"Singapore","medical devices","Healthcare","Singapore","Bachelor of Science, University of Science and Technology of China"
"104",104,"Stefan Persson",16.2,75,"Sweden","H&M","Fashion & Retail","Sweden","Associate in Arts/Science, University of Stockholm"
"105",104,"Eric Schmidt",16.2,67,"United States","Google","Technology","United States","Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley"
"106",106,"Michael Platt",16,55,"United Kingdom","Hedge funds","Finance & Investments","United Kingdom","Bachelor of Arts/Science, London School of Economics; Bachelor of Arts/Science, London School of Economics"
"107",107,"Pang Kang",15.9,67,"China","Soy sauce","Food & Beverage","China",NA
"108",108,"Jorge Paulo Lemann & family",15.8,83,"Brazil","Beer","Food & Beverage","Brazil","Bachelor of Arts/Science, Harvard University"
"109",108,"Peter Woo",15.8,76,"Hong Kong","Real estate","Real Estate","Hong Kong","Master of Business Administration, Columbia Business School"
"110",112,"Dilip Shanghvi",15.6,67,"India","Pharmaceuticals","Healthcare","India","Bachelor of Arts/Science, Calcutta University"
"111",113,"Robert Pera",15.5,45,"United States","Wireless networking","Technology","United States","Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego"
"112",114,"Radhakishan Damani",15.3,68,"India","Retail, investments","Fashion & Retail","India",NA
"113",115,"Huang Shilin",15.2,56,"China","Batteries","Automotive","China","Bachelor of Technology, Hefei University of Technology"
"114",116,"Dhanin Chearavanont",14.9,83,"Thailand","Diversified","Diversified","Thailand",NA
"115",116,"David Green & family",14.9,81,"United States","Retail","Fashion & Retail","United States","Diploma, High School"
"116",118,"Charoen Sirivadhanabhakdi",14.8,78,"Thailand","Alcohol, real estate","Food & Beverage","Thailand",NA
"117",119,"Charlene de Carvalho-Heineken & family",14.7,68,"Netherlands","Heineken","Food & Beverage","Netherlands","Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden"
"118",120,"Xu Hang",14.6,56,"Hong Kong","Medical devices","Healthcare","Hong Kong","EMBA, Ceibs; Bachelor of Engineering, Tsinghua University; Master of Science in Engineering, Tsinghua University"
"119",121,"Wei Jianjun & family",14.5,59,"China","Automobiles","Automotive","China","Bachelor of Arts/Science, Hebei Province"
"120",122,"Alisher Usmanov",14.4,69,"Russia","Steel, telecom, investments","Metals & Mining","Russia","Master, Finance Academy under the Government of the Russian Federation; Master of Laws, Moscow Institute of International Relations"
"121",123,"Goh Cheng Liang",14.3,95,"Singapore","Paints","Manufacturing","Singapore",NA
"122",124,"Kumar Birla",14.2,55,"India","Commodities","Diversified","India","Master of Business Administration, London Business School; Bachelor of Arts/Science, University of Mumbai"
"123",124,"Aliko Dangote",14.2,65,"Nigeria","Cement, sugar","Manufacturing","Nigeria","Bachelor of Arts/Science, Al-Azhar University"
"124",126,"Kwong Siu-hing",14.1,93,"Hong Kong","Real estate","Real Estate","Hong Kong",NA
"125",127,"Idan Ofer",14,67,"Israel","Shipping","Diversified","Israel",NA
"126",128,"Chen Bang",13.9,57,"China","Hospitals","Healthcare","China","Master of Business Administration, Hunan University"
"127",128,"Lui Che Woo",13.9,94,"Hong Kong","Casinos/hotels","Gambling & Casinos","Hong Kong",NA
"128",130,"John Fredriksen",13.7,78,"Cyprus","Shipping","Logistics","Cyprus",NA
"129",130,"Diane Hendricks",13.7,76,"United States","Building supplies","Construction & Engineering","United States","Diploma, High School"
"130",130,"Jan Koum",13.7,47,"United States","WhatsApp","Technology","United States","Drop Out, San Jose State University"
"131",133,"Jerry Jones",13.3,80,"United States","Dallas Cowboys","Sports","United States","Bachelor of Arts/Science, University of Arkansas; Master of Arts, University of Arkansas"
"132",133,"George Kaiser",13.3,80,"United States","Oil & gas, banking","Energy","United States","Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University"
"133",133,"Joseph Lau",13.3,71,"Hong Kong","Real estate","Real Estate","Hong Kong",NA
"134",136,"Lu Xiangyang",13.2,60,"China","Automobiles, batteries","Automotive","China",NA
"135",137,"Harry Triguboff",13.1,90,"Australia","Real estate","Real Estate","Australia","Bachelor of Arts/Science, University of Leeds"
"136",138,"Uday Kotak",12.9,64,"India","Banking","Finance & Investments","India","Bachelor of Arts/Science, University of Mumbai; Master of Business Administration, University of Mumbai"
"137",138,"Stanley Kroenke",12.9,75,"United States","Sports, real estate","Sports","United States","Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri"
"138",140,"Mikhail Fridman",12.6,58,"Russia","Oil, banking, telecom","Energy","Russia","Master of Science, Moscow Institute of Steel and Alloys"
"139",141,"Sarath Ratanavadi",12.3,57,"Thailand","Energy","Energy","Thailand","Bachelor of Science in Engineering, Chulalongkorn University; Master of Science in Engineering, University of Southern California"
"140",142,"Dang Yanbao",12.2,50,"China","Coal","Metals & Mining","China","Master of Business Administration, Peking University"
"141",142,"Jiang Rensheng & family",12.2,69,"China","Vaccines","Healthcare","China","Associate in Arts/Science, Guilin Medical University"
"142",144,"Shahid Khan",12.1,72,"United States","Auto parts","Automotive","United States","Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"
"143",145,"Laurene Powell Jobs & family",12,59,"United States","Apple, Disney","Technology","United States","Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
"144",146,"Robert Kuok",11.8,99,"Malaysia","Palm oil, shipping, property","Diversified","Malaysia","Bachelor of Arts/Science, Raffles College"
"145",147,"Stephen Ross",11.6,82,"United States","Real estate","Real Estate","United States","Master of Laws, New York University; Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, Wayne State University"
"146",148,"Pavel Durov",11.5,38,"United Arab Emirates","Messaging app","Technology","United Arab Emirates","Master of Science, Saint Petersburg State University"
"147",148,"Andreas Struengmann & family",11.5,73,"Germany","Pharmaceuticals","Healthcare","Germany","Medical Doctor, University at Buffalo"
"148",148,"Thomas Struengmann & family",11.5,73,"Germany","Pharmaceuticals","Healthcare","Germany","Master of Business Administration, University of Augsburg; Master of Business Administration, University of Augsburg"
"149",151,"Liu Hanyuan",11.4,59,"China","Agribusiness","Food & Beverage","China","Bachelor of Arts/Science, Sichuan University"
"150",151,"Michael Rubin",11.4,50,"United States","Online retail","Fashion & Retail","United States","Drop Out, Villanova University"
"151",153,"Israel Englander",11.3,74,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, New York University"
"152",153,"Viatcheslav Kantor",11.3,69,"Russia","Fertilizer, real estate","Manufacturing","Russia","Ph.D, Moscow Aviation University"
"153",153,"Anthony Pratt",11.3,62,"Australia","Manufacturing","Manufacturing","Australia","Bachelor of Arts/Economics, Monash University"
"154",153,"Mikhail Prokhorov",11.3,57,"Russia","Investments","Finance & Investments","Russia","Master of Economics, Moscow Institute of Finance"
"155",157,"Giorgio Armani",11.1,88,"Italy","Luxury goods","Fashion & Retail","Italy","Drop Out, University of Piacenza"
"156",157,"Johann Rupert & family",11.1,72,"South Africa","Luxury goods","Fashion & Retail","South Africa",NA
"157",159,"Gong Hongjia & family",11,58,"Hong Kong","Video surveillance","Finance & Investments","Hong Kong","Bachelor of Arts/Science, Huazhong University of Science and Technology"
"158",159,"Zhang Zhidong",11,51,"China","Internet media","Technology","China","Bachelor of Arts/Science, Shenzhen University; Master of Arts, South China University of Technology"
"159",161,"Philip Anschutz",10.9,83,"United States","Energy, sports, entertainment","Finance & Investments","United States","Bachelor of Arts/Science, University of Kansas"
"160",161,"Judy Love & family",10.9,85,"United States","Gas stations","Fashion & Retail","United States","Drop Out, St. John's University (MN); Bachelor of Arts/Science, University of Central Oklahoma"
"161",161,"Ricardo Salinas Pliego & family",10.9,67,"Mexico","Retail, media","Fashion & Retail","Mexico","Master of Business Administration, A. B. Freeman School of Business; Bachelor of Arts/Science, Tecnológico de Monterrey"
"162",164,"Donald Newhouse",10.7,93,"United States","Media","Media & Entertainment","United States","Drop Out, Syracuse University"
"163",165,"Robert Kraft",10.6,81,"United States","Manufacturing, New England Patriots","Sports","United States","Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard Business School"
"164",165,"Marcel Herrmann Telles",10.6,73,"Brazil","Beer","Food & Beverage","Brazil","Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro"
"165",167,"Suleiman Kerimov & family",10.5,57,"Russia","Gold","Finance & Investments","Russia","Master of Economics, Dagestan State University"
"166",167,"Chris Xu",10.5,39,"China","E-commerce","Fashion & Retail","China","Bachelor of Science, Qingdao University"
"167",167,"Changpeng Zhao",10.5,45,"Canada","Cryptocurrency exchange","Finance & Investments","Canada",NA
"168",170,"Andrew Beal",10.3,70,"United States","Banks, real estate","Finance & Investments","United States","Drop Out, Baylor University"
"169",171,"Mike Cannon-Brookes",10.2,43,"Australia","Software","Technology","Australia","Bachelor of Arts/Science, University of New South Wales"
"170",171,"Carl Cook",10.2,60,"United States","Medical devices","Healthcare","United States","Bachelor of Arts/Science, Purdue University; Master of Business Administration, Tippie School of Management"
"171",171,"David Duffield",10.2,82,"United States","Business software","Technology","United States","Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
"172",171,"Jeffery Hildebrand",10.2,64,"United States","Oil","Energy","United States","Bachelor of Arts/Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin"
"173",171,"Viktor Rashnikov",10.2,74,"Russia","Steel","Manufacturing","Russia","Master of Science in Engineering, Magnitogorsk Mining and Metallurgical Institute"
"174",171,"Eduardo Saverin",10.2,41,"Brazil","Facebook","Technology","Brazil","Bachelor of Arts/Science, Harvard University"
"175",171,"Georg Schaeffler",10.2,58,"Germany","Auto parts","Automotive","Germany",NA
"176",171,"Christy Walton",10.2,74,"United States","Walmart","Fashion & Retail","United States","High School Graduate, High School"
"177",179,"Scott Farquhar",10.1,43,"Australia","Software","Technology","Australia","Bachelor of Arts/Science, University of New South Wales"
"178",179,"Quek Leng Chan",10.1,81,"Malaysia","Banking, property","Diversified","Malaysia","LLB, Middle Temple"
"179",179,"Wu Yajun",10.1,59,"China","Real estate","Real Estate","China","Bachelor of Engineering, Northwestern Polytechnical University"
"180",182,"Autry Stephens",10,85,"United States","Oil","Energy","United States","Master of Science, University of Texas, Austin"
"181",183,"Liu Yongxing",9.9,74,"China","Diversified","Service","China",NA
"182",184,"Vinod Adani",9.8,74,"Cyprus","Infrastructure, commodities","Diversified","Cyprus",NA
"183",184,"Nicolas Puech",9.8,80,"France","Hermes","Fashion & Retail","France",NA
"184",184,"Jacques Saadé, Jr.",9.8,51,"France","Shipping","Logistics","France",NA
"185",184,"Rodolphe Saadé",9.8,53,"France","Shipping","Logistics","France","Bachelor of Arts/Science, Concordia University"
"186",184,"Tanya Saadé Zeenny",9.8,55,"France","Shipping","Logistics","France",NA
"187",184,"Melker Schorling & family",9.8,75,"Sweden","Investments","Finance & Investments","Sweden","Master of Business Administration, Gothenburg University"
"188",190,"Andrei Guriev & family",9.7,63,"Russia","Fertilizers","Manufacturing","Russia","Master, Saint Petersburg Mining University; Bachelor of Arts/Science, State Central Institute of Physical Culture"
"189",190,"Michael Kim",9.7,59,"United States","Private equity","Finance & Investments","United States","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Haverford College"
"190",190,"Lei Jun",9.7,53,"China","Smartphones","Technology","China","Bachelor of Science in Engineering, Wuhan University"
"191",190,"Friedhelm Loh",9.7,76,"Germany","Manufacturing","Manufacturing","Germany",NA
"192",190,"Sun Piaoyang",9.7,64,"China","Pharmaceuticals","Healthcare","China","Bachelor of Arts/Science, China Pharmaceutical University; Doctorate, Nanjing University"
"193",195,"Rick Cohen & family",9.6,70,"United States","Warehouse automation","Technology","United States",NA
"194",195,"Jin Baofang",9.6,70,"China","Solar panels","Energy","China","Associate in Arts/Science, Hebei Broadcast and Television University"
"195",195,"Luo Liguo & family",9.6,67,"China","Chemicals","Manufacturing","China",NA
"196",195,"Marijke Mars",9.6,58,"United States","Candy, pet food","Food & Beverage","United States","Bachelor of Arts/Science, Duke University"
"197",195,"Pamela Mars",9.6,62,"United States","Candy, pet food","Food & Beverage","United States","Bachelor of Arts/Science, Vassar College"
"198",195,"Valerie Mars",9.6,64,"United States","Candy, pet food","Food & Beverage","United States","Master of Business Administration, Columbia University; Bachelor of Arts/Science, Yale University"
"199",195,"Victoria Mars",9.6,66,"United States","Candy, pet food","Food & Beverage","United States","Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University"
"200",202,"Vincent Bolloré & family",9.5,71,"France","Investments","Finance & Investments","France","LLB, Universite Paris X Nanterre"
"201",202,"Jim Pattison",9.5,94,"Canada","Diversified","Diversified","Canada",NA
"202",204,"Ernesto Bertarelli",9.4,57,"Switzerland","Biotech, investments","Healthcare","Switzerland","Bachelor of Arts/Science, Babson College; Master of Business Administration, Harvard University"
"203",204,"Wang Xing",9.4,44,"China","E-commerce","Technology","China","Graduate, Tsinghua University"
"204",206,"Brian Chesky",9.3,41,"United States","Airbnb","Technology","United States","Bachelor of Arts/Science, Rhode Island School of Design"
"205",206,"James Dyson",9.3,75,"United Kingdom","Vacuums","Manufacturing","United Kingdom",NA
"206",208,"Roman Abramovich & family",9.2,56,"Russia","Steel, investments","Diversified","Russia","Master, Moscow State Law Academy"
"207",208,"Antonia Ax:son Johnson & family",9.2,79,"Sweden","Diversified","Diversified","Sweden","Master of Arts, University of Stockholm"
"208",208,"Daniel Kretinsky",9.2,47,"Czech Republic","Energy, investments","Energy","Czech Republic","Law Degree, Masaryk University"
"209",208,"John Malone",9.2,82,"United States","Cable television","Media & Entertainment","United States","Doctorate, Johns Hopkins University; Master of Science, Johns Hopkins University; Bachelor of Arts/Science, Yale University"
"210",208,"Azim Premji",9.2,77,"India","Software services","Technology","India","Bachelor of Arts/Science, Stanford University"
"211",208,"Charles Schwab",9.2,85,"United States","Discount brokerage","Finance & Investments","United States","Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University"
"212",208,"Eric Smidt",9.2,63,"United States","Hardware stores","Fashion & Retail","United States",NA
"213",215,"David Cheriton",9,72,"Canada","Google","Technology","Canada","Bachelor of Arts/Science, University of British Columbia; Doctorate, University of Waterloo; Master of Science, University of Waterloo"
"214",215,"Ivan Glasenberg",9,66,"Switzerland","Mining","Metals & Mining","Switzerland","Master of Business Administration, Marshall School of Business; Bachelor of Arts/Science, University of Witwatersrand"
"215",215,"Alexander Otto",9,55,"Germany","Real estate","Real Estate","Germany","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard College"
"216",215,"Anthony von Mandl",9,73,"Canada","Alcoholic beverages","Food & Beverage","Canada","Bachelor of Arts/Science, University of British Columbia"
"217",215,"Wang Liping & family",9,57,"China","Hydraulic machinery","Manufacturing","China",NA
"218",220,"Finn Rausing",8.9,68,"Sweden","Packaging","Food & Beverage","Sweden",NA
"219",220,"Jorn Rausing",8.9,63,"Sweden","Packaging","Food & Beverage","Sweden",NA
